fecha,n1,n2,n3,n4,n5,superbalota
9 de Marzo de 2024,1,14,18,21,42,12
6 de Marzo de 2024,19,25,26,39,41,15
6 de Marzo de 2024,1,5,9,13,43,16
2 de Marzo de 2024,6,17,26,38,40,3
2 de Marzo de 2024,2,9,18,26,43,13
28 de Febrero de 2024,4,14,23,34,42,7
28 de Febrero de 2024,4,26,28,29,37,1
24 de Febrero de 2024,12,22,29,41,42,15
24 de Febrero de 2024,2,5,27,28,30,4
21 de Febrero de 2024,1,7,11,18,34,11
21 de Febrero de 2024,16,22,29,30,37,2
17 de Febrero de 2024,18,21,34,38,43,14
17 de Febrero de 2024,2,4,14,21,28,7
14 de Febrero de 2024,1,8,21,27,35,3
14 de Febrero de 2024,3,16,19,37,40,7
10 de Febrero de 2024,6,14,31,34,42,7
10 de Febrero de 2024,9,14,22,24,29,1
7 de Febrero de 2024,2,11,26,28,41,5
7 de Febrero de 2024,2,4,22,29,35,16
3 de Febrero de 2024,18,20,39,40,43,14
3 de Febrero de 2024,5,10,16,29,36,13
31 de Enero de 2024,2,14,20,26,28,12
31 de Enero de 2024,4,8,24,34,40,5
27 de Enero de 2024,14,24,33,35,36,7
27 de Enero de 2024,15,24,28,29,33,13
24 de Enero de 2024,2,20,21,27,38,11
24 de Enero de 2024,7,10,11,13,25,1
20 de Enero de 2024,19,23,32,36,39,11
20 de Enero de 2024,8,16,20,27,37,4
17 de Enero de 2024,4,25,26,27,30,4
17 de Enero de 2024,11,29,30,36,41,2
13 de Enero de 2024,1,3,23,27,39,7
13 de Enero de 2024,17,21,26,29,37,4
10 de Enero de 2024,2,11,16,28,43,3
10 de Enero de 2024,6,8,9,13,43,11
6 de Enero de 2024,22,27,37,40,42,14
6 de Enero de 2024,2,10,12,17,25,12
3 de Enero de 2024,6,20,31,36,41,5
3 de Enero de 2024,1,3,5,14,28,8
30 de Diciembre de 2023,8,13,21,32,33,8
30 de Diciembre de 2023,24,28,32,35,39,16
